EURO STOXX 50 Volatility Indices,,,,,,,,,
 ,VSTOXX,Sub-Index 1M,Sub-Index 2M,Sub-Index 3M,Sub-Index 6M,Sub-Index 9M,Sub-Index 12M,Sub-Index 18M,Sub-Index 24M
Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
14.09.2000,20.3929,NA,20.0037,19.0857,22.1815,22.7594,22.9456,22.8871,19.8405
15.09.2000,19.8744,NA,19.6766,19.1109,22.2071,22.6706,23.3017,22.4595,19.4920
18.09.2000,21.1522,21.0082,19.8284,23.2678,23.6743,23.5700,11.9254,22.7326,19.4810
19.09.2000,21.4403,21.3713,20.0482,23.3225,23.6168,23.7217,15.5667,22.7040,19.5144
20.09.2000,22.0206,22.0457,20.3880,23.7763,23.9977,23.9939,15.9309,22.8301,19.4865
21.09.2000,24.8499,25.1614,21.1078,26.2038,25.4521,24.9032,16.4082,23.2239,19.3610
22.09.2000,24.4241,25.0295,20.5956,25.7808,25.4975,24.9447,15.9640,23.1452,19.4379
25.09.2000,23.1340,24.3045,20.5351,25.5908,25.0109,24.9132,16.2086,24.0118,19.5266
26.09.2000,22.6903,24.2834,19.8687,25.2624,25.1356,25.1561,16.3585,23.9773,19.4353
27.09.2000,22.3870,24.0662,20.0165,25.2040,24.9837,25.6397,16.3889,24.1379,19.5617
28.09.2000,21.9375,23.7839,19.8125,25.3386,25.0731,25.2412,16.5289,24.2537,19.5117
29.09.2000,23.3527,23.2676,23.4261,25.0381,24.9293,24.9978,16.6144,23.8580,19.6356
02.10.2000,23.5058,23.5992,23.4589,25.1456,24.7875,25.0564,16.5708,23.8584,19.7336
03.10.2000,23.2025,23.3365,23.1463,24.8947,24.6227,24.9435,18.7735,23.6593,19.8106
04.10.2000,23.5726,24.3469,23.2965,24.9053,24.8657,25.0596,21.1085,23.6098,19.7180
05.10.2000,23.1713,23.2008,23.1627,24.6820,24.7254,24.8525,20.5487,23.8197,19.7287
06.10.2000,23.2280,24.0505,23.0270,24.8344,25.0166,25.1595,20.7636,24.1401,19.5918
09.10.2000,25.2841,28.6973,24.8181,26.8586,26.2365,25.7595,21.3435,24.6402,19.5997
10.10.2000,25.6899,28.7734,25.3631,26.7120,26.3532,25.6765,21.2335,24.5101,19.6077
11.10.2000,27.7018,32.6526,27.2885,29.5386,28.2327,27.3768,21.5365,25.9304,19.8041
12.10.2000,27.6395,32.9768,27.3074,30.2410,27.9584,27.5833,22.1755,25.8397,20.1302
13.10.2000,28.6457,34.4976,28.3866,30.5451,28.7080,27.4717,22.4955,26.2086,20.3110
